,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime
0,1544534727,0.0115966796875,9.039982905112652,17749,-3.1910778385085905,32767,8487,15.487465753424658,-10.711297024,3,40,,,,,,,2018-12-11 13:25:27
1,1544535937,0.010986328125,9.18557689392776,17625,-3.1910778385085905,32767,8487,9.982534246575343,-10.711297024,3,40,,,,,,,2018-12-11 13:45:37
2,1544537147,0.01068115234375,9.44554055316263,17406,-3.1910778385085905,32767,8487,12.851301369863013,-10.711297024,4,40,,,,,,,2018-12-11 14:05:47
3,1544538357,0.0103759765625,9.541419849792703,17326,-3.1910778385085905,32767,8487,12.017808219178082,-10.711297024,3,40,,,,,,,2018-12-11 14:25:57
4,1544539567,0.010986328125,9.577502576112579,17296,-3.1910778385085905,32767,8487,4.55513698630137,-10.711297024,4,40,,,,,,,2018-12-11 14:46:07
5,1544540965,0.01068115234375,9.577502576112579,17296,-3.1910778385085905,32767,8487,1.763904109589041,-10.711297024,3,40,,,,,,,2018-12-11 15:09:25
6,1544542182,0.0103759765625,9.528207058182545,17337,-3.1910778385085905,32767,8487,5.504931506849315,-10.711297024,4,40,,,,,,,2018-12-11 15:29:42
7,1544543399,0.009765625,9.475449689307766,17381,-3.1910778385085905,32767,8487,2.481095890410959,-10.711297024,4,40,,,,,,,2018-12-11 15:49:59
8,1544544616,0.01007080078125,9.426423961374667,17422,-3.1910778385085905,32767,8487,2.015890410958904,-10.711297024,3,40,,,,,,,2018-12-11 16:10:16
9,1544545826,0.010986328125,9.419260311594769,17428,-3.1910778385085905,32767,8487,0.29075342465753423,-10.711297024,3,40,,,,,,,2018-12-11 16:30:26
10,1544547036,0.01129150390625,9.487426846476353,17371,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 16:50:36
11,1544548422,0.010986328125,9.385866452463972,17456,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 17:13:42
12,1544549632,0.01129150390625,9.391825236870545,17451,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-11 17:33:52
13,1544550842,0.010986328125,9.259988440307211,17562,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 17:54:02
14,1544552052,0.01007080078125,8.830652567507911,17929,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 18:14:12
15,1544553262,0.01068115234375,8.889722909326906,17878,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 18:34:22
17,1544636237,0.02838134765625,8.492624288139666,18224,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:37:17
18,1544637462,0.028076171875,8.464260004191601,18249,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:57:42
19,1544638688,0.0286865234375,7.755872869237294,18886,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 18:18:08
20,1544639911,0.0286865234375,7.533576167381909,19091,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-12 18:38:31
21,1544641136,0.028076171875,7.544357764488893,19081,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 18:58:56
23,1544555977,0.010986328125,8.96877774437479,17810,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 19:19:37
24,1544557187,0.01129150390625,8.92107193270067,17851,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 19:39:47
25,1544558397,0.01220703125,8.49148888000525,18225,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 19:59:57
26,1544559607,0.01312255859375,8.536959731571415,18185,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-11 20:20:07
27,1544560817,0.01312255859375,8.294983372435297,18399,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 20:40:17
28,1544562027,0.013427734375,8.22546673801412,18461,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 21:00:27
29,1544563237,0.0146484375,7.97315968823591,18688,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 21:20:37
30,1544564447,0.0146484375,7.747147298456923,18894,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 21:40:47
31,1544565657,0.01495361328125,7.514185221454397,19109,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-11 22:00:57
32,1544566867,0.01556396484375,7.524955442490864,19099,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 22:21:07
33,1544568385,0.01617431640625,7.0884770410226,19509,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 22:46:25
34,1544569595,0.0164794921875,7.357654992880271,19255,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 23:06:35
35,1544570805,0.0177001953125,7.420749798636564,19196,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 23:26:45
36,1544572015,0.0177001953125,7.502345266313284,19120,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 23:46:55
37,1544573225,0.01861572265625,7.404688179245795,19211,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 00:07:05
39,1544636237,0.02838134765625,8.492624288139666,18224,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:37:17
40,1544637462,0.028076171875,8.464260004191601,18249,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:57:42
41,1544638688,0.0286865234375,7.755872869237294,18886,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 18:18:08
42,1544639911,0.0286865234375,7.533576167381909,19091,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-12 18:38:31
43,1544641136,0.028076171875,7.544357764488893,19081,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 18:58:56
